ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
P36108	0.195436202048747	25.8137920945642	2.05656755664168	0.0735454697065923	0.141146051476093	-5.5775242865526
Q3E846	0.195308702616241	26.4051591648026	0.92862190821181	0.380095465839079	0.494403954511447	-7.02180709933617
P48360	0.195033029500344	27.7823677028148	1.84113744829984	0.102646495331677	0.182780747937202	-5.89654698035656
P32598	0.194953048868086	31.5619149693601	1.88799411518431	0.0955037541499832	0.174016724131423	-5.82826302406819
P39009	0.194095410865778	28.6659269799941	1.37454811094323	0.206328649213922	0.309838996950854	-6.5300763768921
P11491	0.193778104991594	29.5471833231353	1.9460058481959	0.087316536002402	0.161827335204925	-5.74282336144498
P40540	0.193659398140248	28.9700258503962	2.22734155888103	0.0563386447527635	0.11547764071626	-5.31696092580834
P47025	0.193010492717548	26.6563698353247	2.0324168435173	0.0763611453171216	0.145304085867553	-5.61388629641624
Q12447	0.192894994775834	32.3908627091168	2.6722202972696	0.0281174363863994	0.0677325485280368	-4.61996837540883
P20081	0.19281783537474	33.664435265513	2.14494992110864	0.0640793320177784	0.127420363848755	-5.44337274082799
Q05016	0.192684394134247	32.8568818660635	2.6905494986735	0.0273277731830261	0.0663728799727473	-4.59095760700326
Q06011	0.192500683956588	26.8663723969035	3.04347350156589	0.0158676564363237	0.0435076424072078	-4.03208024538376
P33775	0.19186547189657	31.3231079706866	2.5025235303428	0.0366320962619914	0.0827572624744238	-4.88784897414726
Q12004	0.191864830182155	25.8816273441168	0.851666569198447	0.41901991750977	0.531097810636732	-7.09166730430051
P52911	0.190967111265032	27.5046169557291	1.3601052114125	0.210671079336844	0.314851293582102	-6.54802372150943
P29703	0.190581704551867	27.2430169981528	2.40197096393024	0.0428688322319065	0.0932345039658536	-5.04563567458133
P22133	0.19054380794158	28.1862013972914	0.747695091556971	0.475922580172823	0.585837143072124	-7.17794633654465
P47164	0.188739458614446	27.0444075148203	1.93789979513398	0.0884186948287283	0.163676426221639	-5.75481886615393
P22354	0.188113838656182	27.4952806493097	2.49216938036056	0.0372295451610732	0.0834005679305243	-4.90413674979706
Q08193	0.18777360525791	30.142621819321	2.18110544985216	0.060561189181404	0.122371867759201	-5.38804790474479
P34226	0.187025918698318	28.0300693577709	2.74256705939562	0.0252083038760745	0.0625022344522289	-4.50857992018712
O74700	0.186870641933265	31.173010827785	1.46559142924474	0.180708875987488	0.280784143453043	-6.4143182292289
P51998	0.186239127813842	29.4235851247087	3.02442317546682	0.0163356009483057	0.0446734497137783	-4.06218882562992
P38175	0.185644147837589	27.5937468097109	1.36668478357445	0.208683148721067	0.312217377596316	-6.53986228761261
Q12297	0.185339244939794	26.0019488255337	1.34181267927947	0.216283992795698	0.32125039527957	-6.57058422172717
P53169	0.184437881562207	26.1350040752363	1.25351024151852	0.245210461764594	0.353979542685507	-6.67670021184268
P47822	0.183452168449243	26.1779087084737	0.967391745667733	0.361518080424481	0.476702460479274	-6.98476697038767
P19073	0.18320453662939	28.9192238381453	2.08392973098105	0.070477474274716	0.136680943302574	-5.53616823692144
P38820	0.183121929422001	28.5340133398056	1.69809144997227	0.127698939160977	0.216547834287747	-6.10047277398097
P39940	0.182937479192884	31.1793860293292	2.84127291934659	0.0216390612007771	0.0555875555764225	-4.35216837258467
P38615	0.18275418132448	26.4694660540138	0.496310004517752	0.632946419496183	0.721032453446775	-7.34483270558958
P06100	0.182284584168769	26.882655640643	1.29832713750295	0.230144263554684	0.336571218842921	-6.62343115830324
P81450	0.182145381972887	28.3314381506712	0.624298632845046	0.549716232278265	0.649417826364821	-7.26752332587006
P33338	0.181445282170039	30.8422048273895	2.44041149282279	0.0403671026356315	0.0889040756571111	-4.98542334081928
P42949	0.181322862349084	29.2511657182851	2.2451774063379	0.0547888380627424	0.112817489151534	-5.28944449017572
P00937	0.181305302004851	32.0954969642111	2.00463987125454	0.0797291098760945	0.150434094131054	-5.65553793017023
P40357	0.18099362757339	28.0105792316297	1.84720409564321	0.101693900224075	0.181187426550455	-5.88774451543534
Q02887	0.180487658353897	26.5461957245625	1.69977325069718	0.127373786426607	0.216128558018942	-6.09811845666381
P53724	0.179803832043525	28.2094053745557	1.16998312865193	0.275488678094438	0.386300455099762	-6.77256425985841
P38904	0.179693949444317	24.4785468858497	1.23840843565996	0.250470226975562	0.359420188343136	-6.69436774048714
P38075	0.179461210963538	30.4606690849318	2.13073009075841	0.0655174175007111	0.129302006578859	-5.46506419200365
